ticket_type,subject,text,domain,issue_severity,issue_urgency,business_impact,safety_concern,source
complaint,Electrical Hazard - Urgent Repair Needed,The ceiling fan stopped working last night after sparking out of nowhere near its socket. We haven't been able to turn it on since then due to fear of an immediate fire or electrocution hazards.,office building management and facilities,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard Concern at Office Space A101,We have noticed frequent flickering of lights on our floor which raises concern for an underlying electrical problem that could lead to fire hazards or worse if unresolved.,Office Utilities and Building Services,high,high,low,True,phi4_safety_synth
complaint,Plumbing Issue - Water Leak Risking Structural Damage,We've noticed significant water leakage coming from under the floor near our desk area which poses an immediate threat to company property due to potential flooding damage.,office utilities and building services,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard Reported,There is visible scorch damage on some walls near our conference room which indicates an overheating circuit or faulty wiring that poses immediate fire hazards.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Water Leak Hazard Reported,A significant leak has been reported near the main entrance floor of our premises which poses an immediate threat to both property damage and personal injuries due to slipping hazards.,Office Building Management and Facilities,high,high,high,True,phi4_safety_synth
complaint,IT Equipment Malfunction - Risky Situation,The malfunctioning server overheated last night causing sparks from its casing which could potentially lead to an explosion or fire within our IT department's workspace.,IT and Office Technology Support,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard Reported,A sudden blackout occurred last night at our rented space on Main Street due to an exposed wire near the breaker panel causing minor burns for two employees present there.,office leasing and tenant support,high,high,low,True,phi4_safety_synth
complaint,Inadequate Office Space for Client Company XZ123,The newly leased space at XYZ Coworking has insufficient desks to accommodate our team of twelve employees during peak hours. This shortage is hindering productivity and forcing staff into uncomfortable arrangements.,shared workspace and coworking,medium,high,high,False,phi4_safety_synth
complaint,Unreliable Internet Service at X Workspace,The Wi-Fi service provided by our shared workstation is incredibly unreliable today causing major disruptions to my workflow.,shared workspace and coworking,medium,high,high,False,phi4_safety_synth
complaint,Noise Complaint at XYZ Co-working Space,The noise levels from adjacent workstations are intolerably high during working hours which disrupts concentration for all occupants.,shared workspace and coworking,medium,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at XYZ Coworking Space,We have encountered an exposed wire near our workstations which poses significant electrocution risks for all employees.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Unsafe Parking Space Near Entrance,The newly installed barrier is obstructing pedestrian traffic near our entrance while creating an unsafe condition for cars to back out without hitting pedestrians or other vehicles.,office parking and access control,high,high,high,True,phi4_safety_synth
complaint,Network Outage Impacting Workday Productivity,The persistent network outages have severely disrupted my daily workflow this week. I've been unable to access critical project files remotely which has resulted in delayed deliverables.,IT and Office Technology Support,high,high,high,False,phi4_safety_synth
complaint,Leaking A/C Unit,The leaking air conditioning unit near my desk has caused damage to important documents on my floor for several days now without resolution from maintenance.,office utilities and building services,high,high,high,False,phi4_safety_synth
complaint,IT Support Delay - High Business Impact,We have been experiencing significant delays from our IT department for weeks now due to unresolved technical issues affecting multiple departments' productivity.,it and office technology support,high,high,high,False,phi4_safety_synth
complaint,Non-functional Server Room HVAC System Causing Overheating Risk,The air conditioning unit for our server room has stopped working entirely after we noticed erratic temperatures leading to overheating risks last week.,IT and Office Technology Support,high,high,high,True,phi4_safety_synth
complaint,Office HVAC Failure,"The malfunctioning heating, ventilation, and air conditioning unit is causing unbearable temperatures inside our workspace for several days now. This has severely impacted employee comfort and productivity.",office utilities and building services,high,high,high,False,phi4_safety_synth
complaint,Emergency Repair Required - Ceiling Leak Risking Collapse,The ceiling above our conference room has developed a leak this morning which could easily lead to flooding of sensitive documents stored below if left unattended. We require immediate repairs or we face significant downtime for meetings scheduled today.,office building management and facilities,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard Concern at Office Space,We have noticed exposed wiring on several desks near our IT equipment area which poses an immediate fire hazard risking severe injuries to staff members.,IT and Office Technology Support,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard Concern,We have noticed that several outlets near our leased desk space are sparking occasionally when appliances plugged into them turn on or off. This could pose an immediate fire threat if ignored.,Office Leasing and Tenant Support,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at ABC Coworkspace,I was working from home when I received an email about faulty wiring issues reported on January 15th that pose serious fire risks for everyone using these facilities.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Parking Lot Issue,The newly installed gate for our building's parking lot is malfunctioning intermittently throughout the day. It prevents several employees from accessing their vehicles on time despite there being ample space available.,office parking and access control,medium,high,medium,False,phi4_safety_synth
complaint,Non-functional Elevator,"The main elevator has been out of service for two weeks now due to maintenance issues, which is severely inconveniencing our staff who have no choice but to take the stairs multiple times daily.",commercial property and workspace rental,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at Office Premises,The recent power outage caused by faulty wiring has resulted in exposed live wires within our leased workspace downtown. This poses an immediate life-threatening electric shock risk to all occupants.,office leasing and tenant support,high,high,low,True,phi4_safety_synth
complaint,Leaky AC Unit Causing Disruption,The ceiling drip from our air conditioning unit is causing significant disruption to daily work activities over several weeks now. We need this fixed soon.,office utilities and building services,medium,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at TechHub Office Space,A recent incident involved exposed wiring near our desk which posed an immediate fire threat to everyone present.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space,The flickering lights above my desk have become increasingly frequent over the past week causing discomfort to all employees working nearby. It seems there might also potentially damage our equipment.,Office Building Management and Facilities,high,high,high,True,phi4_safety_synth
complaint,Car Damage Due to Faulty Garage Door Mechanism,I have noticed that my car was damaged when I exited from our company's garage yesterday due to what appears to be malfunctioning door mechanisms causing forceful impact on vehicles parked adjacent.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Office Space Temperature Issue,The temperature control system for our shared workspace has been malfunctioning intermittently over the past week causing discomfort among staff members who use this space during peak summer hours.,office building management and facilities,medium,high,medium,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space Lease Agreement #1023A,We've noticed an exposed wire near our copier machine which poses immediate fire hazards. The landlord was notified last week about this serious problem.,office building management and facilities,high,high,high,True,phi4_safety_synth
complaint,Parking Issue - Limited Access,We've been consistently arriving at work to find that there's no designated space for our vehicle due to recent changes made by management without prior notice or communication.,office parking and access control,medium,high,medium,False,phi4_safety_synth
complaint,Inadequate Fire Safety Measures,"The fire extinguisher is outdated and hasn't been serviced regularly according to code requirements. Given recent fires at neighboring buildings, I am extremely concerned about our readiness for an actual emergency.",Office Building Management and Facilities,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at XYZ Coworkspace,We encountered an exposed wire on our worktable yesterday afternoon which posed immediate fire hazards to everyone present.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,IT Support Failure,The IT department failed to resolve our network connectivity issues over three days of operation disruption for several teams. This has impacted productivity significantly.,IT and Office Technology Support,high,high,high,False,phi4_safety_synth
complaint,Non-functional entrance gate causing blockage,The main entry to our facility has been blocked due to an improperly functioning automated door for several days now. Employees are unable to enter or exit properly leading to significant delays.,office parking and access control,high,high,high,True,phi4_safety_synth
complaint,Inadequate Parking Space,We've encountered difficulties parking our delivery vehicles due to insufficient space provided by your lot management team at New Horizons Commercial Park.,commercial property and workspace rental,medium,medium,medium,False,phi4_safety_synth
complaint,Unreliable Heating System Issue,The central heating system has been unreliable for weeks now causing discomfort among staff during winter months.,office utilities and building services,high,high,high,False,phi4_safety_synth
complaint,Inadequate Office Space Allocation,We were allocated an unusually small amount of space for our new lease agreement which severely hampers collaboration among team members. This allocation does not align well with industry standards.,office leasing and tenant support,medium,medium,medium,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space,We have noticed exposed wiring near our break room which poses an immediate fire threat to employees' lives.,office building management and facilities,high,high,low,True,phi4_safety_synth
complaint,Unsafe Electrical Outlet,The outlet near my desk has an exposed wire which poses a serious electrocution threat. I need immediate repair to prevent potential harm.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Fire Alarm Malfunction,The fire alarm sounded twice today at random intervals causing unnecessary panic among employees. We need it fixed immediately to ensure everyone's safety.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,HVAC Malfunction Concern,The malfunctioning HVAC system has made several offices uncomfortable due to excessive heat over the past week.,office building management and facilities,medium,high,medium,False,phi4_safety_synth
complaint,Electrical Hazard at XYZ Coworking Space,The shared workstation's overhead lighting fixture was hanging dangerously close to our table surface near column C6-B3 on Tuesday afternoon. It's extremely hazardous for anyone working under it right now.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at Office Building,The recent storm caused an immediate power outage affecting several floors of our offices located on the seventh floor above ground level! We are concerned about potential fire hazards due to faulty wiring exposed by water damage.,office building management and facilities,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard at Commercial Office Space,I am deeply concerned about an imminent fire threat due to faulty wiring issues reported by tenants above us. Immediate inspection is necessary.,Commercial Property and Workspace Rental,high,high,medium,True,phi4_safety_synth
complaint,Restricted Parking Issue,"My colleague has been repeatedly denied entry to our reserved parking spot for unknown reasons, despite having an official company vehicle badge that should grant us full privileges.",office parking and access control,medium,medium,medium,False,phi4_safety_synth
complaint,Networking Issues at Shared Workspace,The Wi-Fi connectivity issues have been persistent for over two days now which is disrupting my work-from-home schedule heavily.,shared workspace and coworking,high,high,high,False,phi4_safety_synth
complaint,IT Support Delay,The delay in resolving our IT issues has severely impacted project timelines leading to missed deadlines.,IT and Office Technology Support,high,high,high,False,phi4_safety_synth
complaint,Non-functional Elevator Service Reported Twice This Week,Our maintenance team was called yesterday for an elevator malfunction again! We can't ignore this recurring problem any longer – it's becoming unbearable.,office utilities and building services,medium,high,high,False,phi4_safety_synth
complaint,Fire Hazard at Office Space Lease Location,We have discovered that there is an active fire alarm system malfunctioning near our leased premises which poses immediate evacuation risks for tenants.,office leasing and tenant support,high,high,high,True,phi4_safety_synth
complaint,Unsafe Parking Lot Condition,The car parked outside my building was dangerously close to an electric pole's grounding wire due to improper mowing of grass around it last week.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space X,We have encountered an immediate threat to our employees' well-being due to exposed wiring that poses serious electrocution risks within their shared workspaces.,shared workspace and coworking,high,high,high,True,phi4_safety_synth
complaint,Leased Office Space Ventilation Issue,I've been experiencing uncomfortable temperatures during summer months despite paying for air-conditioned space according to our lease agreement. The lack of proper ventilation leads me to believe we are being misled about certain amenities.,Office Leasing and Tenant Support,medium,medium,low,False,phi4_safety_synth
complaint,Water Leak Concern,We've discovered an active water leak under our main hallway floor which poses immediate flooding risks to adjacent offices.,office utilities and building services,high,high,high,True,phi4_safety_synth
complaint,Building Management Issue - Smoke Detected,Smoke was visible coming from under doors near our entrance yesterday afternoon which caused panic among staff members who were forced to evacuate immediately for their own safety.,office building management and facilities,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space A101,"We've encountered frequent power outages due to faulty wiring which poses an immediate fire risk. Additionally, we've noticed scorch marks near some outlets indicating overheating.",office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Parking Space Shortage Issue,I have repeatedly encountered difficulties finding available spaces during my daily commute to work over several weeks now. This is starting to affect our punctuality for meetings.,office parking and access control,medium,medium,medium,False,phi4_safety_synth
complaint,Electrical Hazard at IT Support Office,We've noticed frequent flickering of lights around here which poses an obvious fire risk! Someone needs to fix this immediately before it causes major damage.,IT and office technology support,high,high,low,True,phi4_safety_synth
complaint,Gas Leak Concern,We've detected an unusual smell of gas coming from our hallway near the service doors area overnight last night.,Office Utilities and Building Services,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at IT Office Space,The server room's faulty wiring poses an immediate fire risk! We cannot delay fixing this dangerous situation until next week.,IT and Office Technology Support,high,high,low,True,phi4_safety_synth
complaint,Noise Complaint at TechHub Office,"I've been experiencing excessive noise levels from neighboring workspaces which are disrupting my ability to concentrate on tasks that require deep focus. I understand there will always be some background activity in an open environment like this, however, it's becoming increasingly difficult for me during peak hours.",shared workspace and coworking,medium,high,low,False,phi4_safety_synth
complaint,Inadequate Parking Space for New Tenants,The newly assigned parking space does not meet our company's size requirements or allows enough room to maneuver comfortably within tight spaces without risking damage during transport of large equipment.,commercial property and workspace rental,medium,high,medium,False,phi4_safety_synth
complaint,Electrical Hazard Reported,The ceiling fan above our conference room has been sparking for several hours now! The maintenance team needs to address this immediately before someone gets electrocuted or there's damage caused by an electrical fire.,office building management and facilities,high,high,low,True,phi4_safety_synth
complaint,Restricted Parking Access Issue,I have been denied entry to my reserved parking spot for three consecutive days despite having an active lease agreement that specifies this space should belong to me exclusively on Fridays. This obstruction of use has caused significant inconvenience and disrupted client meetings scheduled at our premises.,office parking and access control,medium,high,medium,False,phi4_safety_synth
complaint,Inadequate Parking Space at Office Lease Location,We have experienced issues due to insufficient parking space for our employees when renting an office on Main Street premises last June.,Commercial Property and Workspace Rental,medium,high,high,False,phi4_safety_synth
complaint,Heating Issue During Winter Months,The building's heating system is inadequate during winter months leading to uncomfortably cold temperatures inside my leased space. This has disrupted normal working conditions for several weeks now.,office leasing and tenant support,medium,high,high,False,phi4_safety_synth
complaint,Inadequate Office Space,We have been renting an office space for our tech startup which is too cramped to accommodate all employees comfortably or effectively manage daily activities such as holding meetings without feeling stifled.,commercial property and workspace rental,medium,medium,medium,False,phi4_safety_synth
complaint,Inadequate Heating System,The central heating system failed to operate on my first day at work due to heavy snowfall outside. We were uncomfortable until late afternoon when someone manually turned it back up.,office building management and facilities,medium,medium,medium,False,phi4_safety_synth
complaint,Shared Workspace Issue - Equipment Malfunction,The conference table's leg collapsed during our meeting last night because it wasn't properly secured by maintenance staff after cleaning work earlier that day! We need this fixed ASAP to continue hosting clients without interruptions.,shared workspace and coworking,high,high,high,False,phi4_safety_synth
complaint,Shared Workspace Noise Levels,The noise levels at our shared workspace exceed acceptable limits during peak hours causing significant distraction to my team. We've tried using headphones multiple times without much success.,shared workspace and coworking,medium,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at Office Tech Support Space,The recent power outage was caused by faulty wiring which poses an immediate fire risk due to sparks observed earlier today.,IT and Office Technology Support,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at XYZ Workspace,There has been an ongoing power outage due to faulty wiring which poses significant fire risks inside our shared space on Elm Street.,shared workspace and coworking,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard at Office Location A123,"An exposed wire was found near our entrance during recent inspections, posing an immediate fire or electrocution threat to all employees using this space.",office building management and facilities,high,high,low,True,phi4_safety_synth
complaint,Water Leak Damage,The ceiling above my desk has started to leak during heavy rainfalls for several nights now. The water damage is extensive on both sides of our aisle. We need immediate assistance before it leads to mold growth or worse.,commercial property and workspace rental,high,high,low,True,phi4_safety_synth
complaint,Inadequate Workspace Rental Equipment,The desks provided are too small for our team to work comfortably together at present. It hinders productivity due to discomfort during long working hours.,commercial property and workspace rental,medium,high,medium,False,phi4_safety_synth
complaint,Electrical Hazard at XYZ Office Space,I was just informed that several outlets are malfunctioning on floor 3 due to faulty wiring which poses an immediate fire hazard.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard Reported at Office Space,An employee reported an exposed wire near their desk this morning which poses immediate electrocution risks if touched.,Office Building Management and Facilities,high,high,high,True,phi4_safety_synth
complaint,Parking Hazard Reported,"I noticed that several cars have been parked illegally near our loading zone, blocking both pedestrian traffic to their offices on multiple floors above us! This poses serious risks for anyone trying to enter or exit via elevators right now.",office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard - Non-Compliant Lighting Fixtures,The overhead lighting fixtures are malfunctioning frequently over the past week causing frequent power outages throughout our floors. This poses an imminent fire threat due to overheating concerns.,office building management and facilities,high,high,high,True,phi4_safety_synth
complaint,Unreliable HVAC System,"Our newly installed heating, ventilation, and air conditioning system is unreliable at best. On several occasions over the past week it has failed to maintain set temperatures despite multiple reset attempts.",Office Utilities and Building Services,medium,high,low,False,phi4_safety_synth
complaint,Inadequate Heating System,The heating system is failing to operate efficiently during winter months causing discomfort for employees working remotely from home offices.,Office Building Management and Facilities,medium,high,low,False,phi4_safety_synth
complaint,Parking Issue at Main Office,The newly installed security gate obstructs my vehicle's ability to enter or exit our main office lot during peak hours resulting in delays for myself and other employees.,Office Parking and Access Control,medium,high,low,False,phi4_safety_synth
complaint,Emergency Vehicle Access Blocked at Entrance,An ambulance was delayed tonight due to our entrance being blocked by improperly parked company vehicles. We need immediate action on this for everyone's sake.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Plumbing Leak Danger,We've encountered severe flooding from an unattended plumbing leak overnight which poses significant risks of mold growth and potential water damage to our floors.,office utilities and building services,high,high,high,True,phi4_safety_synth
complaint,Shared Workspace Noise Level Issue,The noise levels at TechHive shared workspace are unacceptable for concentration purposes. It's difficult to work efficiently due to constant loud conversations around me.,shared workspace and coworking,medium,high,medium,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space,We have noticed flickering lights during work hours which indicate an underlying wiring problem that could potentially cause fires or electrocution if it worsens.,Office Building Management and Facilities,high,high,low,True,phi4_safety_synth
complaint,Leaky HVAC System,The central heating ventilation air conditioning system is leaking near our main entrance causing discomfort to employees due to increased humidity levels.,office utilities and building services,medium,medium,medium,False,phi4_safety_synth
complaint,Electrical Hazard at Office Premises,We have noticed exposed wiring near our entrance which poses an immediate fire hazard due to frayed insulation.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Non-functional HVAC System at Office Space Rental,"The heating, ventilation, and air conditioning system is broken on day two of our lease term leading to uncomfortable working conditions which are impacting productivity.",commercial property and workspace rental,high,high,high,False,phi4_safety_synth
complaint,Leased Office Space Issue,The HVAC system at our leased space has failed repeatedly this month causing significant discomfort for employees due to extreme temperatures.,office leasing and tenant support,high,high,high,False,phi4_safety_synth
complaint,Unsafe conditions - Electrical Hazard Risk at Office Space Rental Location,The rented commercial space has exposed wiring near common areas posing an immediate fire or electrocution threat to employees working late hours. This is unacceptable for our operational continuity.,commercial property and workspace rental,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard Reported,We have been experiencing intermittent power outages for several hours now at our desk space on floor B3 of TechHub Co-working Space #2457B29. It's become extremely concerning that we might face an unsafe situation if this happens during working hours.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Inadequate Wi-Fi Service at X Office Space Location,The internet connection is frequently down or too slow for our needs during working hours. This has disrupted important project meetings multiple times this week.,shared workspace and coworking,medium,high,high,False,phi4_safety_synth
complaint,Inadequate Wi-Fi Coverage at XYZ Cowork Space,We are experiencing significant disruptions due to poor internet connectivity for our tenants on floors two through four of ABC Corporate Park. The lackluster service is impacting project deadlines and client satisfaction.,shared workspace and coworking,high,high,high,False,phi4_safety_synth
complaint,Inadequate Office Space Layout,The newly leased space does not meet our needs for an efficient layout due to being too small when combined with adjoining offices we also lease.,Commercial Property and Workspace Rental,medium,high,medium,False,phi4_safety_synth
complaint,Lease Agreement Dispute,"The new landlord is altering lease terms unilaterally without proper notice or justification, affecting our operation hours schedule which was previously agreed upon.",Office Leasing and Tenant Support,medium,high,medium,False,phi4_safety_synth
complaint,Power Outage Hazard at Office Tech Support Space,The recent power outage has caused us to work without proper backup systems leading to frequent interruptions of our IT services which are critical for ongoing projects.,IT and Office Technology Support,high,high,high,True,phi4_safety_synth
complaint,Unsafe Parking Situation - Electrical Hazard Risk,The recently installed charging station for electric vehicles is dangerously close to power cables at our main entrance lane! We need this fixed immediately before we have an accident on site.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard Reported,The main lobby area has an exposed wiring that poses severe fire risks to employees' personal belongings during our lunch breaks.,commercial property and workspace rental,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at TechSpace Co.,The shared workspace's kitchen area has exposed wiring behind several desks leading to potential electrocution risks for employees using those spaces without proper caution or protective measures being taken by management.,shared workspace and coworking,high,high,high,True,phi4_safety_synth
complaint,Water Damage Issue,The ceiling above my desk has collapsed due to water leakage from an adjacent unit's bathroom renovation last week. This poses serious risks of mold growth affecting air quality within our shared workspace.,office leasing and tenant support,high,high,low,True,phi4_safety_synth
complaint,Hazardous Condition at Office Space Lease,The rented commercial space is filled with mold due to water damage from recent flooding which poses severe health risks for our employees.,commercial property and workspace rental,high,high,high,True,phi4_safety_synth
complaint,IT Support Delay,Our IT technician hasn't resolved our ongoing software compatibility issues for over two weeks now! This is severely impacting my team's productivity.,it and office technology support,high,high,high,False,phi4_safety_synth
complaint,Parking Issue at Office Entrance,We've encountered significant delays due to insufficient space for vehicles parked overnight near our entrance way. This has caused tardiness among staff arriving early on weekdays.,office parking and access control,medium,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space,There is an exposed wire on the desk near my workstation which poses serious electrocution risks if accidentally touched.,IT and office technology support,high,high,low,True,phi4_safety_synth
complaint,Shared Workspace Noise Complaint,The constant noise levels at our shared workspaces are disrupting my ability to concentrate on important tasks during working hours.,shared workspace and coworking,medium,high,high,False,phi4_safety_synth
complaint,Fire Hazard Concern at Office Space Rental Location,We were alarmed to notice significant peeling paint near an exposed wire on several walls of our rented commercial space downtown last week - posing serious fire risks! Immediate inspection by qualified personnel is mandatory!,commercial property and workspace rental,high,high,low,True,phi4_safety_synth
complaint,Water Damage Alert,The ceiling is leaking inside my rented workspace on multiple occasions now! It's causing water damage to important documents stored within drawers.,office leasing and tenant support,high,high,low,True,phi4_safety_synth
complaint,IT Support Delayed Response Time Issue,We've been experiencing significant delays from our IT department over the past week to resolve recurring software issues that are critical for daily tasks of my team.,IT and Office Technology Support,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at TechHub Office Space,We've noticed exposed wiring near our desks which poses an immediate fire or electrocution threat! This needs to be fixed urgently.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard Concern at Office Space Location,The newly leased commercial space has multiple exposed wires near common areas posing an immediate fire or electrocution threat to employees. Immediate remediation is essential for ensuring workplace safety.,Office Leasing and Tenant Support,high,high,high,True,phi4_safety_synth
complaint,Power Outage - Computer Malfunctioned Leading to Safety Hazard,Our IT systems experienced an unexpected shutdown yesterday morning which caused several critical computers across our offices to malfunction overnight. This led us into discovering overheating issues that posed serious fire hazards due to faulty cooling units attached near power supplies.,IT and Office Technology Support,high,high,high,True,phi4_safety_synth
complaint,Faulty HVAC System,"The central heating, ventilation, and air conditioning system has been malfunctioning for weeks now, causing extreme temperature fluctuations within our workspace.",office utilities and building services,high,high,high,True,phi4_safety_synth
complaint,Water Damage Alert - Leased Office Space,We have discovered significant water damage inside our leased office space following heavy rains last night. The ceiling has partially collapsed leading to puddles on the floor making it unsafe for employees.,Office Leasing and Tenant Support,high,high,high,True,phi4_safety_synth
complaint,Power Outage - Structural Risk Concern,The recent power outage has left us without electricity for several hours which caused our backup generators to fail prematurely due to overheating risks potentially leading to fires or explosions.,office utilities and building services,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard at Office Location,There is an exposed wire near our main entrance which poses immediate fire risks due to sparking issues observed recently.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard Concern at Office Space Rental,The newly leased commercial space has multiple reported incidents of exposed wiring near workstations leading to frequent power outages disrupting our daily activities.,commercial property and workspace rental,high,high,high,True,phi4_safety_synth
complaint,Inadequate Heating System,The heating system provided by OfficeSpace Rentals fails to maintain an adequate temperature during winter months which affects my team's productivity.,office leasing and tenant support,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space Lease Location,We have discovered exposed wiring near our leased commercial space which poses an immediate fire hazard to both tenants and employees within adjacent offices.,commercial property and workspace rental,high,high,high,True,phi4_safety_synth
complaint,Plumbing Issue - Flood Risk,We've noticed water seeping into our leased space from an apparent faulty pipe near the ceiling above us. This could lead to significant flooding damage if it isn't addressed promptly.,Commercial Property and Workspace Rental,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard Concern at Office Space,The recent power surges have caused intermittent failures of our essential IT equipment which poses an immediate threat to data integrity. We need swift action to prevent potential loss or damage.,IT & Office Technology Support,high,high,high,True,phi4_safety_synth
complaint,Shared Workspace Electrical Hazard,The main breaker failed today causing power outages throughout our floor at midday! This could have led to serious injuries if someone hadn't been quick enough to unplug equipment.,shared workspace and coworking,high,high,high,True,phi4_safety_synth
complaint,IT Support Delay,The IT team has been unresponsive for weeks now to fix my network issues causing significant downtime at work.,it and office technology support,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard Concern at Office Space,We've noticed frequent power outages due to faulty wiring issues which pose an immediate fire hazard risks throughout our building.,IT and Office Technology Support,high,high,high,True,phi4_safety_synth
complaint,Gas Leak Concern at Office Premises,We have noticed an unusual smell similar to natural gas emanating from beneath our commercial kitchen units this morning. It is imperative that we alert maintenance immediately due to potential explosion hazards.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Inadequate Office Space,"We have been renting space from your company for over six months now due to an unexpected project expansion within our team size. Unfortunately, we find ourselves overcrowded which severely hampers productivity and comfort levels at work.",office building management and facilities,high,medium,high,False,phi4_safety_synth
complaint,Electrical Hazard at TechSpace HQ,The main conference room has an exposed live wire on its desk surface causing concern among staff using it for meetings.,shared workspace and coworking,high,high,high,True,phi4_safety_synth
complaint,Leased Office Space Heating Issue,"The heating system at our leased space is malfunctioning again this winter, despite prior complaints about similar issues last year. It's becoming intolerable for employees to work comfortably without proper temperature control.",office leasing and tenant support,high,high,high,False,phi4_safety_synth
complaint,Unsafe Electrical Outlet,The exposed wiring behind this commercial property's wall-mounted outlet poses an immediate fire hazard to tenants' offices across multiple floors.,Commercial Property and Workspace Rental,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard at XYZ Coworkspace,There is an exposed wire near our desk which poses severe fire hazards to everyone working here.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Plumbing Issue - Water Leak Risking Structural Integrity,We've discovered water seeping into our basement due to leaky pipes underneath the floorboards on Main Street Office Unit #1023A! This could lead to significant mold issues or even compromise support structures if left unresolved.,office utilities and building services,high,high,high,True,phi4_safety_synth
complaint,Parking Space Shortage Issue,We've repeatedly encountered issues finding available spaces at our usual offices this week despite having confirmed reservations for two vehicles each day due to insufficient signage or updated space allocations.,office parking and access control,medium,high,medium,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space Lease #4567A1,The recent lightning storm caused an immediate power outage that left our workspace without electricity for several hours last night. We are concerned about potential fire hazards due to damaged wiring inside some offices.,Office Building Management and Facilities,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space Location,We were just notified of an immediate evacuation due to reported wiring issues causing sparks near our desks. This is unacceptable for tenant businesses operating during normal hours.,Commercial Property and Workspace Rental,high,high,high,True,phi4_safety_synth
complaint,Software Failure Impacting Productivity,"Our latest project management software update has significantly slowed down our computers' performance, hindering daily tasks such as document editing and email communication.",IT Support & Office Technology,high,high,high,False,phi4_safety_synth
complaint,Inadequate HVAC System Response During Heatwave,The AC units failed to activate properly during yesterday's heatwave which caused temperatures inside my workspace to rise dangerously close to overheating levels for our computers. This could potentially lead to hardware failure or data loss.,office building management and facilities,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at Leased Office Space,The recently leased conference room has exposed wiring causing frequent power outages which disrupt our workday activities. We need immediate repair to prevent potential fire hazards.,Office Leasing and Tenant Support,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard Concern at Office Premises,The recent power outage due to faulty wiring poses an immediate threat of fire or electrocution risks for tenants using electronic devices.,office leasing and tenant support,high,high,high,True,phi4_safety_synth
complaint,HVAC Issue - Uncomfortable Working Conditions,The air conditioning unit has been malfunctioning for weeks now during our summer months at Midtown Office Space #101. It's extremely uncomfortable to work there without proper climate control.,office utilities and building services,medium,high,medium,False,phi4_safety_synth
